City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Longyearbyen,SJ,2021-04-06 21:21:19,78.2186,15.6401,10.4,48,20,12.66
133,Shar,KZ,2021-04-06 21:25:54,49.5886,81.0453,39.58,84,57,3.4
134,Alyangula,AU,2021-04-06 21:25:55,-13.8483,136.4192,69.8,100,85,5.28
135,Barcelos,PT,2021-04-06 21:25:55,41.5388,-8.6151,57.0,100,0,3.11
136,Bongandanga,CD,2021-04-06 21:25:55,1.5,21.05,72.63,87,100,3.2
137,Vila Velha,BR,2021-04-06 21:21:57,-20.3297,-40.2925,81.0,78,20,6.91
138,Baturaja,ID,2021-04-06 21:25:56,-4.1333,104.1667,71.87,94,99,1.77
139,Tuktoyaktuk,CA,2021-04-06 21:25:56,69.4541,-133.0374,-9.4,77,75,11.5
140,Berbera,SO,2021-04-06 21:25:57,10.4396,45.0143,79.38,60,89,6.89
141,Saskylakh,RU,2021-04-06 21:25:57,71.9167,114.0833,7.74,95,100,7.34
142,Bengkulu,ID,2021-04-06 21:25:57,-3.8004,102.2655,74.1,87,99,4.74
143,Margate,GB,2021-04-06 21:25:58,51.3813,1.3862,37.0,53,27,4.0
144,Kodiak,US,2021-04-06 21:25:58,57.79,-152.4072,37.4,48,1,12.66
145,Luderitz,NA,2021-04-06 21:25:59,-26.6481,15.1594,61.48,86,1,13.15
146,Hasaki,JP,2021-04-06 21:25:59,35.7333,140.8333,43.0,93,40,4.61
147,Puerto Ayora,EC,2021-04-06 21:25:59,-0.7393,-90.3518,80.6,83,20,9.22
148,Mirnyy,RU,2021-04-06 21:26:00,62.5353,113.9611,24.66,96,100,4.5
149,Agadez,NE,2021-04-06 21:26:00,19.75,10.25,82.74,6,0,9.13
150,Mocuba,MZ,2021-04-06 21:26:01,-16.8392,36.9856,65.71,90,0,2.91
151,Raudeberg,NO,2021-04-06 21:26:01,61.9875,5.1352,37.0,90,91,23.78
