City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Saskylakh,RU,71.9167,114.0833,-17.01,100,100,7.02,overcast clouds
163,Karratha,AU,-20.7377,116.8463,81.36,77,89,11.12,light rain
164,Camabatela,AO,-8.1881,15.375,65.26,92,100,1.41,overcast clouds
165,Murgab,TM,37.4966,61.9714,64.4,48,63,4.61,broken clouds
166,Piacabucu,BR,-10.4056,-36.4344,78.69,71,100,7.29,overcast clouds
167,Kiruna,SE,67.8557,20.2251,6.8,78,52,4.61,broken clouds
168,Noyabrsk,RU,63.1994,75.4507,31.5,88,100,7.4,overcast clouds
169,Bitung,ID,1.4451,125.1824,78.85,82,100,3.24,overcast clouds
170,Kruisfontein,ZA,-34.0033,24.7314,61.0,93,5,1.01,clear sky
171,San Francisco,US,37.7749,-122.4194,62.01,51,75,18.41,broken clouds
172,Bradford,GB,53.7939,-1.7521,48.0,71,99,5.99,light rain
173,Sorland,NO,67.667,12.6934,21.2,86,40,3.44,scattered clouds
174,Nabire,ID,-3.3667,135.4833,74.64,89,83,3.78,moderate rain
175,Kodiak,US,57.79,-152.4072,33.8,37,1,32.21,clear sky
176,Kaya,BF,13.0917,-1.0844,90.61,6,87,8.75,overcast clouds
177,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.45,73,37,9.48,scattered clouds
178,Cravo Norte,CO,6.3017,-70.2041,78.44,75,100,1.9,overcast clouds
179,Santa Rosalia,MX,27.3167,-112.2833,82.27,25,0,6.35,clear sky
180,Grindavik,IS,63.8424,-22.4338,23.0,63,75,20.71,broken clouds
181,Bonavista,CA,48.6499,-53.1147,41.0,100,58,3.44,broken clouds
182,Pisco,PE,-13.7,-76.2167,73.4,68,0,13.8,clear sky
183,Honningsvag,NO,70.9821,25.9704,30.2,74,20,2.3,light snow
184,Clovis,US,36.8252,-119.7029,72.0,28,1,9.22,clear sky
185,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,80,90,15.66,snow
186,Victoria,HK,22.2855,114.1577,69.01,90,100,14.72,light rain
