City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Sibiti,CG,70.81,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
127,Peniche,PT,61.0,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
129,Carnarvon,AU,73.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
130,Saldanha,ZA,62.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
133,Sambava,MG,76.19,light rain,-14.2667,50.1667,Melrose
135,Korla,CN,52.7,overcast clouds,41.7597,86.1469,Gulisitan Hotel
137,Katherine,AU,73.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
138,Vila Velha,BR,78.01,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
139,Ujhani,IN,76.12,clear sky,28.0167,79.0167,Bhagwati Palace
140,Valparaiso,CL,73.4,clear sky,-33.0393,-71.6273,Hotel Ultramar
142,Kaitangata,NZ,51.01,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
143,Isla Mujeres,MX,86.0,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
144,Impfondo,CG,71.4,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
145,Cabo San Lucas,MX,88.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
146,Vanimo,PG,76.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
148,Banes,CU,84.2,scattered clouds,20.9625,-75.7186,Hostal Iván y yailet
149,Cabuyaro,CO,89.65,few clouds,4.2817,-72.794,Hotel La Cuarta
152,New Norfolk,AU,51.01,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
153,Puerto Ayora,EC,86.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
154,Hami,CN,59.97,overcast clouds,42.8,93.45,Laoyutang Resort
155,Hithadhoo,MV,82.74,few clouds,-0.6,73.0833,Scoop Guest House
156,Dharchula,IN,56.93,clear sky,29.85,80.5333,Mahara Hotel
